feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,target
0.6276282436631887,0.806729405609428,0.1849281391401072,0.401662704666639,0.20278805917932785,0.00843004179420448,0.04628384563587917,0.23241950394201805,0.33067040968843153,0.6886118296544521,1
0.2833071468180939,0.3463932111772604,0.298506330024256,0.23559076247226818,0.3705067450322773,0.2830664157375975,0.5700200704864052,0.403674821233065,0.16900963189997964,0.1971201628504693,1
0.6864255673218435,0.22247028946302327,0.04814391605125057,0.7832556074445547,0.88969075087623,0.426838923491763,0.4271823804901437,0.43217578026538395,0.6061998585481926,0.17679905335370272,0
0.5153790734374957,0.3223464485576466,0.8425821463137676,0.1539689142297358,0.2548819434445885,0.5419020656439862,0.12400150741379123,0.7313268007134722,0.7477916544643411,0.5646385865438102,0
0.2863285846154907,0.44521539370366026,0.9933575861782523,0.6777541089232749,0.25647696021220134,0.8184958100939257,0.5609365624109741,0.6511420262207487,0.8007697001773297,0.7039448447360094,0
0.04204690640673203,0.28526984781416065,0.3705748931088291,0.12635751169660692,0.6771106338124057,0.3361541700079952,0.6404494395585661,0.39706195899413654,0.9132049333688018,0.8663145264206493,1
0.4460611735356934,0.5510250453562953,0.7095967314521963,0.17367131609214048,0.6678314184350373,0.9633302729349039,0.6344184692049638,0.7970309802121379,0.5866177870016507,0.8730164996040727,0
0.5461309382292577,0.35196336579286613,0.5801186515267763,0.5601360324163442,0.5050260684767158,0.7140931231263865,0.28269667056236547,0.013985252241437318,0.6117309210774122,0.06758578941011484,0
0.1487224121534989,0.15441228620730363,0.74729388398443,0.7173968533914059,0.33337797945920367,0.7944155375560663,0.02392347122534344,0.30149180174009216,0.24781776189257443,0.5304027589741898,0
0.5008429615672269,0.9169603931511002,0.9341256272331733,0.2461241740206528,0.32228851501965516,0.32564869494704884,0.5326711809767167,0.42413513282194193,0.08391629254476363,0.3224524798413533,1
